MAJOR CLADE,No.REF,ORDER,FAMILY,NODE,SRB_topology,FAMILY,TOPO,mean,min,max,Reference,
ANA,1,NYMPHAEALES,1,Nymphaeales,821,1,,125,,,Magall??n et al. 2015,
ANA,2,NYMPHAEALES,1,Nymphaeales,821,1,,126.7,120.6,133.2,Iles et al. 2014,
ANA,3,NYMPHAEALES,1,Nymphaeales,821,1,,97.7,42.8,176.6,Zhou et al. 2014,
ANA,4,NYMPHAEALES,1,Nymphaeales,821,1,,164,,,Z. Wu et al. 2014,
ANA,5,NYMPHAEALES,1,Nymphaeales,821,1,,188,,,Tank et al. 2015,
ANA,6,NYMPHAEALES,1,Nymphaeales,821,1,,209,,,Foster et al. 2016a,
ANA,7,NYMPHAEALES,1,Hydatellaceae,825,1,,29.1,14.7,23.4,Iles et al. 2014,
ANA,8,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,127.5,103,152,Wikstr??m et al. 2015,
ANA,9,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,112,,,Magall??n & Castillo 2009,
ANA,10,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,112.5,,,Tank et al. 2015,
ANA,11,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,122.7,,,Magall??n et al. 2013,
ANA,12,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,56.4,38,75,L??hne et al. 2008,
ANA,13,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,40,25,52,Bell et al. 2010,
ANA,14,NYMPHAEALES,1,Cabombaceae + Nymphaeaceae,822,1,,44.6,36.7,52.5,Yoo et al. 2005,
ANA,15,NYMPHAEALES,1,Cabombaceae,824,1,,20.5,10,31,Bell et al. 2010,
ANA,16,NYMPHAEALES,1,Cabombaceae,824,1,,101,93,109,Wikstr??m et al. 2001,
ANA,17,NYMPHAEALES,1,Cabombaceae,824,1,,63.5,52,75,Wikstr??m et al. 2001,
ANA,18,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,121,,,E.L. Schneider et al. 2004,
ANA,19,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,100.1,,,Magall??n et al. 2013,
ANA,20,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,95.5,92.9,99.6,Iles et al. 2014,
ANA,21,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,31,15,49,Bell et al. 2010,
ANA,22,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,28.2,3.8,60.6,Zhou et al. 2014,
ANA,23,NYMPHAEALES,1,Nymphaeaceae,823,,!TOPO,,40.8,51.8,Naumann et al. 2013,
ANA,24,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,179,,,Tank et al. 2015,
ANA,25,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,140.5,126,155,Wikstr??m et al. 2001,
ANA,26,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,,85,168,Schneider et al. 2004,
ANA,27,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,,125,203,Magall??n & Castillo 2009,
ANA,28,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,122,99,145,Bell et al. 2010,see Magall??n et al. 2015
ANA,29,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,114,110,130,Bell et al. 2010,
ANA,30,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,118.3,109.9,130.8,Iles et al. 2014,
ANA,31,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,103.4,,,Magall??n et al. 2013,
ANA,32,AUSTROBAILEYALES,1,Austrobaileyales,818,1,,91.5,,,Naumann et al. 2013,
ANA,33,AUSTROBAILEYALES,1,Schisandraceae + Trimeniaceae,819,,,102.1,98.8,107.9,Iles et al. 2014,
ANA,34,AUSTROBAILEYALES,1,Schisandraceae + Trimeniaceae,819,,,109.7,,,Magall??n et al. 2015,
ANA,35,AUSTROBAILEYALES,1,Schisandraceae + Trimeniaceae,819,,,158.6,,,Tank et al. 2015,
ANA,36,AUSTROBAILEYALES,1,Schisandraceae,820,1,,42.2,,,Magall??n et al. 2013,
ANA,37,AUSTROBAILEYALES,1,Schisandraceae,820,1,,40,,,Naumann et al. 2013,
