Order,Family,Subfamily,No_genera,Spp_richness,Subfam_sampled,ORDERS,FAM,SUB_FAM,Crown_M2015,Crown_SRB,Newly_sampled
Acorales,Acoraceae,,1,4,,,1,1,,CROWN,
Acorales,,,,4,,1,,,,,
Alismatales,Alismataceae,,15,88,,,1,1,,CROWN,
Alismatales,Aponogetonaceae,,1,50,,,1,1,,CROWN,NEW
Alismatales,Araceae,Zamioculcadoideae,3,21,,,,1,,,
Alismatales,Araceae,Pothoideae,4,900,,,,1,,,
Alismatales,Araceae,Orontioideae,3,6,,,,1,,,
Alismatales,Araceae,Monsteroideae,12,360,,,,1,,,
Alismatales,Araceae,Lemnoideae,5,37,,,,1,,,
Alismatales,Araceae,Lasioideae,10,58,,,,1,,,
Alismatales,Araceae,Gymnostachydoideae,1,1,,,,1,,,
Alismatales,Araceae,Aroideae,75,2520,,,,1,,,
Alismatales,Araceae,,123,4095,8,,1,,,CROWN,
Alismatales,Butomaceae,,1,1,,,1,1,,CROWN,NEW
Alismatales,Cymodoceaceae,,5,16,,,1,1,,CROWN,NEW
Alismatales,Hydrocharitaceae,,18,116,,,1,1,,CROWN,
Alismatales,Juncaginaceae,,3,30,,,1,1,,CROWN,
Alismatales,Maundiaceae,,1,1,,,1,1,,CROWN,NEW
Alismatales,Posidoniaceae,,1,9,,,1,1,,CROWN,NEW
Alismatales,Potamogetonaceae,,4,102,,,1,1,,CROWN,
Alismatales,Ruppiaceae,,1,10,,,1,1,,CROWN,NEW
Alismatales,Scheuchzeriaceae,,1,1,,,1,1,,,
Alismatales,Tofieldiaceae,,3,31,,,1,1,CROWN,CROWN,
Alismatales,Zosteraceae,,2,14,,,1,1,,CROWN,NEW
Alismatales,,,,4566,,1,,,,,
Amborellales,Amborellaceae,,1,1,,,1,1,CROWN,CROWN,
Amborellales,,,,1,,1,,,,,
Apiales,Apiaceae,Saniculoideae,10,335,,,,1,,,
Apiales,Apiaceae,Platysace,1,26,,,,1,,,
Apiales,Apiaceae,Mackinlayoideae,10,98,,,,1,,,
Apiales,Apiaceae,Klotzschieae,1,3,,,,1,,,
Apiales,Apiaceae,Hermae,1,8,,,,1,,,
Apiales,Apiaceae,Azorelloideae,17,155,,,,1,,,
Apiales,Apiaceae,Apioideae,380,3200,,,,1,,,
Apiales,Apiaceae,,434,3780,7,,1,,CROWN,CROWN,
Apiales,Araliaceae,,43,1450,,,1,1,CROWN,CROWN,
Apiales,Griseliniaceae,,1,6,,,1,1,,CROWN,NEW
Apiales,Myodocarpaceae,,2,19,,,1,1,CROWN,CROWN,
Apiales,Pennantiaceae,,1,4,,,1,1,,CROWN,
Apiales,Pittosporaceae,,6,200,,,1,1,CROWN,CROWN,
Apiales,Torricelliaceae,,3,10,,,1,1,CROWN,CROWN,
Apiales,,,,5469,,1,,,,,
Aquifoliales,Aquifoliaceae,,1,405,,,1,1,,CROWN,
Aquifoliales,Cardiopteridaceae,,5,43,,,1,1,CROWN,CROWN,
Aquifoliales,Helwingiaceae,,1,3,,,1,1,,CROWN,
Aquifoliales,Phyllonomaceae,,1,4,,,1,1,,CROWN,
Aquifoliales,Stemonuraceae,,12,95,,,1,1,,CROWN,
Aquifoliales,,,,550,,1,,,,,
Arecales,Arecaceae,Nypoideae,1,1,,,,1,,,
Arecales,Arecaceae,Coryphoideae,47,505,,,,1,,,
Arecales,Arecaceae,Ceroxyloideae,8,47,,,,1,,,
Arecales,Arecaceae,Calamoideae,21,645,,,,1,,,
Arecales,Arecaceae,Arecoideae,111,1390,,,,1,,,
Arecales,Arecaceae,,188,2585,5,,1,,,CROWN,
Arecales,Dasypogonaceae,,4,16,,,1,1,CROWN,CROWN,
Arecales,,,,2601,,1,,,,,
Asparagales,Amaryllidaceae,Amaryllidoideae,59,801,,,,1,,,
Asparagales,Amaryllidaceae,Allioideae,13,795,,,,1,,,
Asparagales,Amaryllidaceae,Agapanthoideae,1,9,,,,1,,,
Asparagales,Amaryllidaceae,,73,1605,3,,1,,,CROWN,
Asparagales,Asparagaceae,Scilloideae,70,1025,,,,1,,,
Asparagales,Asparagaceae,Nolinoideae,26,530,,,,1,,,
Asparagales,Asparagaceae,Lomandroideae,15,178,,,,1,,,
Asparagales,Asparagaceae,Brodiaeoideae,12,62,,,,1,,,
Asparagales,Asparagaceae,Asparagoideae,2,295,,,,1,,,
Asparagales,Asparagaceae,Aphyllanthoideae,1,1,,,,1,,,
Asparagales,Asparagaceae,Agavoideae,23,637,,,,1,,,
Asparagales,Asparagaceae,,153,2525,7,,1,,CROWN,CROWN,
Asparagales,Asphodelaceae,Xanthorrhoeoideae,1,30,,,,1,,,
Asparagales,Asphodelaceae,Hemerocallidoideae,20,89,,,,1,,,
Asparagales,Asphodelaceae,Asphodeloideae,19,940,,,,1,,,
Asparagales,Asphodelaceae,,41,1060,3,,1,,,CROWN,
Asparagales,Asteliaceae,,3,31,,,1,1,,CROWN,NEW
Asparagales,Blandfordiaceae,,1,4,,,1,1,,CROWN,
Asparagales,Boryaceae,,2,12,,,1,1,,CROWN,
Asparagales,Doryanthaceae,,1,2,,,1,1,,,NEW
Asparagales,Hypoxidaceae,,7,220,,,1,1,CROWN,CROWN,
Asparagales,Iridaceae,Patersonioideae,1,24,,,,1,,,
Asparagales,Iridaceae,Nivenioideae,3,14,,,,1,,,
Asparagales,Iridaceae,Isophysidoideae,1,1,,,,1,,,
Asparagales,Iridaceae,Iridoideae,30,890,,,,1,,,
Asparagales,Iridaceae,Geosiridoideae,1,3,,,,1,,,
Asparagales,Iridaceae,Crocoideae,28,1020,,,,1,,,
Asparagales,Iridaceae,Aristeoideae,1,55,,,,1,,,
Asparagales,Iridaceae,,66,2120,7,,1,,,CROWN,
Asparagales,Ixioliriaceae,,1,3,,,1,1,,CROWN,
Asparagales,Lanariaceae,,1,1,,,1,1,,CROWN,NEW
Asparagales,Orchidaceae,Vanilloideae,14,245,,,,1,,,
