X,SPECIES,Order,Clade,Clade_new
1350,Acanthaceae_Acanthus_spp,Lamiales,Acanthoideae,Acanthoideae
1354,Acanthaceae_Avicennia_bicolor,Lamiales,Avicennioideae,Avicennioideae
1353,Acanthaceae_Avicennia_marina,Lamiales,Avicennioideae,Avicennioideae
1351,Acanthaceae_Barleria_spp,Lamiales,Acanthoideae,Acanthoideae
1348,Acanthaceae_Elytraria_spp,Lamiales,Nelsonioideae,Nelsonioideae
1352,Acanthaceae_Justicia_spp,Lamiales,Acanthoideae,Acanthoideae
1356,Acanthaceae_Mendoncia_spp,Lamiales,Thunbergioideae,Thunbergioideae
1347,Acanthaceae_Nelsonia_spp,Lamiales,Nelsonioideae,Nelsonioideae
1349,Acanthaceae_Staurogyne_spp,Lamiales,Nelsonioideae,Nelsonioideae
1355,Acanthaceae_Thunbergia_spp,Lamiales,Thunbergioideae,Thunbergioideae
764,Achariaceae_Acharia_tragodes,Malpighiales,NA,
770,Achariaceae_Erythrospermum_phytolaccoides,Malpighiales,NA,
766,Achariaceae_Hydnocarpus_spp,Malpighiales,NA,
763,Achariaceae_Kiggelaria_spp,Malpighiales,NA,
765,Achariaceae_Pangium_edule,Malpighiales,NA,
1701,Achatocarpaceae_Achatocarpus_praecox,Caryophyllales,NA,
1702,Achatocarpaceae_Phaulothamnus_spinescens,Caryophyllales,NA,
8,Acoraceae_Acorus_calamus,Acorales,NA,
9,Acoraceae_Acorus_gramineus,Acorales,NA,
1552,Actinidiaceae_Actinidia_spp,Ericales,NA,
1551,Actinidiaceae_Clematoclethra_spp,Ericales,NA,
1550,Actinidiaceae_Saurauia_spp,Ericales,NA,
1171,Adoxaceae_Adoxa_moschatellina,Dipsacales,Adoxeae,
1174,Adoxaceae_Sambucus_spp,Dipsacales,Adoxeae,
1173,Adoxaceae_Sinadoxa_corydalifolia,Dipsacales,Adoxeae,
1172,Adoxaceae_Tetradoxa_omeiensis,Dipsacales,Adoxeae,
1170,Adoxaceae_Viburnum_spp,Dipsacales,Viburnae,
1037,Aextoxicaceae_Aextoxicon_punctatum,Berberidopsidales,NA,
77,Afrothismieae_Afrothismia_gesnerioides,Dioscoreales,NA,
78,Afrothismieae_Afrothismia_winkleri,Dioscoreales,NA,
1618,Aizoaceae_Carpanthea_pomeridiana,Caryophyllales,Ruschioideae,Ruschioideae
1619,Aizoaceae_Conicosia_pugioniformis,Caryophyllales,Ruschioideae,Ruschioideae
1621,Aizoaceae_Delosperma_spp,Caryophyllales,Ruschioideae,Ruschioideae
1616,Aizoaceae_Galenia_spp,Caryophyllales,Aizooideae,Aizooideae
1620,Aizoaceae_Lampranthus_spp,Caryophyllales,Ruschioideae,Ruschioideae
1622,Aizoaceae_Mesembryanthemum_crystallinum,Caryophyllales,Mesembryanthemoideae,Mesembryanthemoideae
1623,Aizoaceae_Psilocaulon_parviflorum,Caryophyllales,Mesembryanthemoideae,Mesembryanthemoideae
1614,Aizoaceae_Sesuvium_portulacastrum,Caryophyllales,Sesuvioideae,Sesuvioideae
1617,Aizoaceae_Tetragonia_tetragonoides,Caryophyllales,Aizooideae,Aizooideae
1615,Aizoaceae_Trianthema_portulacastrum,Caryophyllales,Sesuvioideae,Sesuvioideae
598,Akaniaceae_Akania_bidwillii,Brassicales,NA,
599,Akaniaceae_Bretschneidera_sinensis,Brassicales,NA,
38,Alismataceae_Alisma_spp,Alismatales,Alismae,Alismae
40,Alismataceae_Hydrocleys_nymphoides,Alismatales,Limnocharitaceae,Limnocharitaceae
39,Alismataceae_Limnocharis_flava,Alismatales,Limnocharitaceae,Limnocharitaceae
41,Alismataceae_Sagittaria_spp,Alismatales,Echinodoreae,Echinodoreae
1084,Alseuosmiaceae_Alseuosmia_spp,Asterales,NA,
1083,Alseuosmiaceae_Crispiloba_disperma,Asterales,NA,
1082,Alseuosmiaceae_Platyspermation_crasifolium,Asterales,NA,
1085,Alseuosmiaceae_Wittsteinia_spp,Asterales,NA,
364,Alstroemeriaceae_Alstroemeria_spp,Liliales,Alstroemerieae,
363,Alstroemeriaceae_Bomarea_spp,Liliales,Alstroemerieae,
362,Alstroemeriaceae_Drymophila_spp,Liliales,Luzuriageae,
361,Alstroemeriaceae_Luzuriaga_radicans,Liliales,Luzuriageae,
471,Altingiaceae_Altingia_spp,Saxifragales,NA,
472,Altingiaceae_Liquidambar_styraciflua,Saxifragales,NA,
522,Alzateaceae_Alzatea_verticillata,Myrtales,NA,
1708,Amaranthaceae_Achyranthes_aspera,Caryophyllales,Achyranthoideae,Amaranthoideae
1712,Amaranthaceae_Acroglochin_persicarioides,Caryophyllales,Betoideae,Betoideae
1707,Amaranthaceae_Aerva_spp,Caryophyllales,Arveoideae,Amaranthoideae
1716,Amaranthaceae_Agriophyllum_squarrosum,Caryophyllales,Corispermoideae,Corispermoideae
1721,Amaranthaceae_Allenrolfea_spp,Caryophyllales,Salicornioideae,Salicornioideae
1704,Amaranthaceae_Amaranthus_spp,Caryophyllales,Amaranthoideae,Amaranthoideae
1729,Amaranthaceae_Bassia_spp,Caryophyllales,Camphorosmoideae,Camphorosmoideae
1718,Amaranthaceae_Beta_vulgaris,Caryophyllales,Betoideae,Betoideae
1720,Amaranthaceae_Bienertia_spp,Caryophyllales,Suaedoideae,Suaedoideae
1703,Amaranthaceae_Celosia_spp,Caryophyllales,Gomphrenoideae,Amaranthoideae
1705,Amaranthaceae_Chamissoa_altissima,Caryophyllales,Amaranthoideae,Amaranthoideae
